Approved symbol	Ensembl ID(supplied by Ensembl)
RN7SL421P~withdrawn	
PI8L1~withdrawn	
DFNX3	
CAMKG~withdrawn	
OR4H11P~withdrawn	
SNORA103	
RPL13P9	
VN1R72P	
SPG45	
YWHAQP2	
GTF2D1~withdrawn	
RPL7AP18	
MRX9~withdrawn	
NMTRQ-TTG2-1	
SFTPP1~withdrawn	
AGMX1~withdrawn	
TRR-TCT1-1	
RPL18P9	
CYCSP16	
TRG-CCC6-1	
H2BFXP	
MTL4~withdrawn	
EBS1~withdrawn	
PIRC80	
C17orf1~withdrawn	
HEGFL~withdrawn	
MASP1P1~withdrawn	
GLC1I	
MIR10392	
LAMM~withdrawn	
SLC21A1~withdrawn	
MSK9	
GLUT1~withdrawn	
GLC#~withdrawn	
OPTX2~withdrawn	
MRX16~withdrawn	
C1orf218~withdrawn	
THOP2~withdrawn	
LEU1~withdrawn	
KFS~withdrawn	
RN7SL590P~withdrawn	
MRT26	
TRC-GCA2-1	
ARID4B-IT1~withdrawn	
TNXB2~withdrawn	
HPV18I2	
CTAGE5~withdrawn	
SYB2~withdrawn	
SNORA111	
RNY5P3	
MRX43~withdrawn	
RP52	
RPL29P9	
TRS-GCT5-1	
PAST1~withdrawn	
RPS17P3	
TRQ-CTG13-1	
CRYG1~withdrawn	
TEX4~withdrawn	
PIRC43	
RPL41L2~withdrawn	
PPAR~withdrawn	
UBE2D5P~withdrawn	
MIR10525	
RCN~withdrawn	
HOKPP~withdrawn	
MBNT~withdrawn	
STP2~withdrawn	
CRSP5	
EDH17B2~withdrawn	
GTF3BAP3~withdrawn	
MRX66	
RNU3B4~withdrawn	
ERVW-29	
MRX22~withdrawn	
EPD1~withdrawn	
OR2H7~withdrawn	
RN7SL626P~withdrawn	
SEN6B	
TRF-GAA2-1	
LINC00650~withdrawn	
SE~withdrawn	
ACTL3~withdrawn	
RPS26P44	
GAMTP1	
PI7~withdrawn	
GSTT1	
MYH12~withdrawn	
FABP5P9	
TRL-TAA2-1	
NMDAR2A~withdrawn	
RPL7AP19	
RPL19P9	
DNM1P39	
INSSA1~withdrawn	
